,field_1,LocationID,Borough,Zone,service_zone,geometry
213,229,230,Manhattan,Times Sq/Theatre District,Yellow Zone,"POLYGON ((-73.9865426 40.7569747, -73.9845426 40.7569747, -73.9845426 40.758974699999996, -73.9865426 40.758974699999996, -73.9865426 40.7569747))"
214,230,231,Manhattan,TriBeCa/Civic Center,Yellow Zone,"POLYGON ((-74.0137633 40.7113379, -74.0018893 40.7113379, -74.0018893 40.72590780000001, -74.0137633 40.72590780000001, -74.0137633 40.7113379))"
215,231,232,Manhattan,Two Bridges/Seward Park,Yellow Zone,"POLYGON ((-122.2807786 47.5315869, -122.2463986 47.5315869, -122.2463986 47.57345470000001, -122.2807786 47.57345470000001, -122.2807786 47.5315869))"
216,232,233,Manhattan,UN/Turtle Bay South,Yellow Zone,"POLYGON ((-73.9808908 40.7481753, -73.95908899999999 40.7481753, -73.95908899999999 40.7641613, -73.9808908 40.7641613, -73.9808908 40.7481753))"
217,233,234,Manhattan,Union Sq,Yellow Zone,"POLYGON ((-73.993641 40.733992, -73.98697609999999 40.733992, -73.98697609999999 40.7385105, -73.993641 40.7385105, -73.993641 40.733992))"
218,234,235,Bronx,University Heights/Morris Heights,Boro Zone,"POLYGON ((-73.9208498 40.8530855, -73.91884979999999 40.8530855, -73.91884979999999 40.855085499999994, -73.9208498 40.855085499999994, -73.9208498 40.8530855))"
219,235,236,Manhattan,Upper East Side North,Yellow Zone,"POLYGON ((-73.9732511 40.7583091, -73.94221689999999 40.7583091, -73.94221689999999 40.7879499, -73.9732511 40.7879499, -73.9732511 40.7583091))"
220,236,237,Manhattan,Upper East Side South,Yellow Zone,"POLYGON ((-73.9732511 40.7583091, -73.94221689999999 40.7583091, -73.94221689999999 40.7879499, -73.9732511 40.7879499, -73.9732511 40.7583091))"
221,237,238,Manhattan,Upper West Side North,Yellow Zone,"POLYGON ((-73.9963789 40.768483, -73.9582099 40.768483, -73.9582099 40.806098, -73.9963789 40.806098, -73.9963789 40.768483))"
222,238,239,Manhattan,Upper West Side South,Yellow Zone,"POLYGON ((-73.9963789 40.768483, -73.9582099 40.768483, -73.9582099 40.806098, -73.9963789 40.806098, -73.9963789 40.768483))"
223,239,240,Bronx,Van Cortlandt Park,Boro Zone,"POLYGON ((-73.8870942 40.896135400000006, -73.8850942 40.896135400000006, -73.8850942 40.8981354, -73.8870942 40.8981354, -73.8870942 40.896135400000006))"
224,240,241,Bronx,Van Cortlandt Village,Boro Zone,"POLYGON ((-73.8991185 40.8813824, -73.8875995 40.8813824, -73.8875995 40.8859971, -73.8991185 40.8859971, -73.8991185 40.8813824))"
225,241,242,Bronx,Van Nest/Morris Park,Boro Zone,"POLYGON ((-73.865262 40.8429881, -73.8356029 40.8429881, -73.8356029 40.857679, -73.865262 40.857679, -73.865262 40.8429881))"
226,242,243,Manhattan,Washington Heights North,Boro Zone,"POLYGON ((-73.93529960000001 40.851476000000005, -73.9332996 40.851476000000005, -73.9332996 40.853476, -73.93529960000001 40.853476, -73.93529960000001 40.851476000000005))"
227,243,244,Manhattan,Washington Heights South,Boro Zone,"POLYGON ((-72.5167854 40.8831898, -72.5151216 40.8831898, -72.5151216 40.88719, -72.5167854 40.88719, -72.5167854 40.8831898))"
228,244,245,Staten Island,West Brighton,Boro Zone,"POLYGON ((-74.1261431 40.619447, -74.0971433 40.619447, -74.0971433 40.6346369, -74.1261431 40.6346369, -74.1261431 40.619447))"
229,245,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,"POLYGON ((-74.0033873 40.7531757, -74.0010001 40.7531757, -74.0010001 40.7548219, -74.0033873 40.7548219, -74.0033873 40.7531757))"
230,247,248,Bronx,West Farms/Bronx River,Boro Zone,"POLYGON ((-73.8859049 40.83747899999999, -73.876704 40.83747899999999, -73.876704 40.84817899999999, -73.8859049 40.84817899999999, -73.8859049 40.83747899999999))"
231,248,249,Manhattan,West Village,Yellow Zone,"POLYGON ((-74.0106087 40.7283442, -73.99685199999999 40.7283442, -73.99685199999999 40.7409452, -74.0106087 40.7409452, -74.0106087 40.7283442))"
232,250,251,Staten Island,Westerleigh,Boro Zone,"POLYGON ((-2.4433664 51.5131109, -2.4277734 51.5131109, -2.4277734 51.5208344, -2.4433664 51.5208344, -2.4433664 51.5131109))"
233,251,252,Queens,Whitestone,Boro Zone,"POLYGON ((-73.8287876 40.7730708, -73.78436219999999 40.7730708, -73.78436219999999 40.8010921, -73.8287876 40.8010921, -73.8287876 40.7730708))"
234,252,253,Queens,Willets Point,Boro Zone,"POLYGON ((-73.8587646 40.75249, -73.83720149999999 40.75249, -73.83720149999999 40.7654453, -73.8587646 40.7654453, -73.8587646 40.75249))"
235,253,254,Bronx,Williamsbridge/Olinville,Boro Zone,"POLYGON ((-73.871118 40.8696938, -73.8616364 40.8696938, -73.8616364 40.887355, -73.871118 40.887355, -73.871118 40.8696938))"
236,254,255,Brooklyn,Williamsburg (North Side),Boro Zone,"POLYGON ((-73.9595348 40.7152503, -73.95753479999999 40.7152503, -73.95753479999999 40.717250299999996, -73.9595348 40.717250299999996, -73.9595348 40.7152503))"
237,256,257,Brooklyn,Windsor Terrace,Boro Zone,"POLYGON ((-73.9862359 40.6472954, -73.9714193 40.6472954, -73.9714193 40.662158, -73.9862359 40.662158, -73.9862359 40.6472954))"
238,258,259,Bronx,Woodlawn/Wakefield,Boro Zone,"POLYGON ((-71.10072699999999 42.471637, -71.034898 42.471637, -71.034898 42.531035, -71.10072699999999 42.531035, -71.10072699999999 42.471637))"
239,259,260,Queens,Woodside,Boro Zone,"POLYGON ((-94.6111923 39.0417523, -94.60919229999999 39.0417523, -94.60919229999999 39.043752299999994, -94.6111923 39.043752299999994, -94.6111923 39.0417523))"
240,261,262,Manhattan,Yorkville East,Yellow Zone,"POLYGON ((-79.3965805 43.668707, -79.3795252 43.668707, -79.3795252 43.6762644, -79.3965805 43.6762644, -79.3965805 43.668707))"
241,262,263,Manhattan,Yorkville West,Yellow Zone,"POLYGON ((-79.3965805 43.668707, -79.3795252 43.668707, -79.3795252 43.6762644, -79.3965805 43.6762644, -79.3965805 43.668707))"
