,field_1,LocationID,Borough,Zone,service_zone,geometry
111,120,121,Queens,Hillcrest/Pomonok,Boro Zone,"POLYGON ((-73.81522 40.7256542, -73.80094629999999 40.7256542, -73.80094629999999 40.7385846, -73.81522 40.7385846, -73.81522 40.7256542))"
112,122,123,Brooklyn,Homecrest,Boro Zone,"POLYGON ((-73.96186170000001 40.5915969, -73.9501418 40.5915969, -73.9501418 40.6106414, -73.96186170000001 40.6106414, -73.96186170000001 40.5915969))"
113,123,124,Queens,Howard Beach,Boro Zone,"POLYGON ((-73.85969639999999 40.6443744, -73.8367225 40.6443744, -73.8367225 40.666065, -73.85969639999999 40.666065, -73.85969639999999 40.6443744))"
114,124,125,Manhattan,Hudson Sq,Yellow Zone,"POLYGON ((-73.68857 42.7658611, -73.6867307 42.7658611, -73.6867307 42.7675089, -73.68857 42.7675089, -73.68857 42.7658611))"
115,125,126,Bronx,Hunts Point,Boro Zone,"POLYGON ((-73.9029856 40.8005801, -73.86840409999999 40.8005801, -73.86840409999999 40.822979, -73.9029856 40.822979, -73.9029856 40.8005801))"
116,126,127,Manhattan,Inwood,Boro Zone,"POLYGON ((-73.932667 40.8557032, -73.9104948 40.8557032, -73.9104948 40.877591, -73.932667 40.877591, -73.932667 40.8557032))"
117,127,128,Manhattan,Inwood Hill Park,Boro Zone,"POLYGON ((-73.925776 40.8711829, -73.92377599999999 40.8711829, -73.92377599999999 40.873182899999996, -73.925776 40.873182899999996, -73.925776 40.8711829))"
118,128,129,Queens,Jackson Heights,Boro Zone,"POLYGON ((-73.8997646 40.7465327, -73.8694026 40.7465327, -73.8694026 40.7660969, -73.8997646 40.7660969, -73.8997646 40.7465327))"
119,129,130,Queens,Jamaica,Boro Zone,"POLYGON ((-78.4073639 17.6688854, -76.1448669 17.6688854, -76.1448669 18.5697821, -78.4073639 18.5697821, -78.4073639 17.6688854))"
120,130,131,Queens,Jamaica Estates,Boro Zone,"POLYGON ((-73.79366 40.7107253, -73.77354679999999 40.7107253, -73.77354679999999 40.7291933, -73.79366 40.7291933, -73.79366 40.7107253))"
121,131,132,Queens,JFK Airport,Airports,"POLYGON ((-73.78072780000001 40.6436124, -73.7787278 40.6436124, -73.7787278 40.6456124, -73.78072780000001 40.6456124, -73.78072780000001 40.6436124))"
122,132,133,Brooklyn,Kensington,Boro Zone,"POLYGON ((-75.13447479999999 39.9688461, -75.0949646 39.9688461, -75.0949646 40.003436, -75.13447479999999 40.003436, -75.13447479999999 39.9688461))"
123,133,134,Queens,Kew Gardens,Boro Zone,"POLYGON ((-0.296573 51.4777438, -0.294573 51.4777438, -0.294573 51.479743799999994, -0.296573 51.479743799999994, -0.296573 51.4777438))"
124,134,135,Queens,Kew Gardens Hills,Boro Zone,"POLYGON ((-73.83773819999999 40.7156393, -73.8077757 40.7156393, -73.8077757 40.7434168, -73.83773819999999 40.7434168, -73.83773819999999 40.7156393))"
125,135,136,Bronx,Kingsbridge Heights,Boro Zone,"POLYGON ((-73.90590519999999 40.8675202, -73.8813235 40.8675202, -73.8813235 40.8859971, -73.90590519999999 40.8859971, -73.90590519999999 40.8675202))"
126,136,137,Manhattan,Kips Bay,Yellow Zone,"POLYGON ((-73.98473369999999 40.734901, -73.9717143 40.734901, -73.9717143 40.7463913, -73.98473369999999 40.7463913, -73.98473369999999 40.734901))"
127,137,138,Queens,LaGuardia Airport,Airports,"POLYGON ((-73.8752467 40.7756422, -73.8732467 40.7756422, -73.8732467 40.777642199999995, -73.8752467 40.777642199999995, -73.8752467 40.7756422))"
128,138,139,Queens,Laurelton,Boro Zone,"POLYGON ((-73.7601311 40.665535, -73.7262889 40.665535, -73.7262889 40.6886451, -73.7601311 40.6886451, -73.7601311 40.665535))"
129,139,140,Manhattan,Lenox Hill East,Yellow Zone,"POLYGON ((-73.9732511 40.7586825, -73.949107 40.7586825, -73.949107 40.775726, -73.9732511 40.775726, -73.9732511 40.7586825))"
130,140,141,Manhattan,Lenox Hill West,Yellow Zone,"POLYGON ((-73.9990848 40.7380377, -73.9970848 40.7380377, -73.9970848 40.740037699999995, -73.9990848 40.740037699999995, -73.9990848 40.7380377))"
131,141,142,Manhattan,Lincoln Square East,Yellow Zone,"POLYGON ((-87.7069016 41.9612734, -87.6739765 41.9612734, -87.6739765 41.9907634, -87.7069016 41.9907634, -87.7069016 41.9612734))"
132,142,143,Manhattan,Lincoln Square West,Yellow Zone,"POLYGON ((-87.7069016 41.9612734, -87.6739765 41.9612734, -87.6739765 41.9907634, -87.7069016 41.9907634, -87.7069016 41.9612734))"
133,143,144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"POLYGON ((-73.9982402 40.719431, -73.9926194 40.719431, -73.9926194 40.7250838, -73.9982402 40.7250838, -73.9982402 40.719431))"
134,144,145,Queens,Long Island City/Hunters Point,Boro Zone,"POLYGON ((-73.9627433 40.7375126, -73.9364179 40.7375126, -73.9364179 40.7545707, -73.9627433 40.7545707, -73.9627433 40.7375126))"
135,145,146,Queens,Long Island City/Queens Plaza,Boro Zone,"POLYGON ((-73.9438809 40.7494954, -73.9366251 40.7494954, -73.9366251 40.752624, -73.9438809 40.752624, -73.9438809 40.7494954))"
